E:\android\curly_final\IMG\center_2019_04_12_01_52_50_770.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_50_770.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_50_770.jpg,0,0,0,0.0001404174
E:\android\curly_final\IMG\center_2019_04_12_01_52_50_846.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_50_846.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_50_846.jpg,0,0,0,0.0001992019
E:\android\curly_final\IMG\center_2019_04_12_01_52_50_917.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_50_917.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_50_917.jpg,0,0,0,0.0002601108
E:\android\curly_final\IMG\center_2019_04_12_01_52_50_987.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_50_987.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_50_987.jpg,0,0,0,4.731169E-05
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_058.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_058.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_058.jpg,0,0,0,3.814173E-05
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_136.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_136.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_136.jpg,0,0,0,6.724038E-05
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_211.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_211.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_211.jpg,0,0,0,7.708056E-05
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_282.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_282.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_282.jpg,0,0,0,1.318441E-05
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_354.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_354.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_354.jpg,0,0,0,0.0001052545
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_422.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_422.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_422.jpg,0,0,0,0.0001256471
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_492.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_492.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_492.jpg,0,0,0,0.0001339642
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_564.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_564.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_564.jpg,0,0,0,0.0002215563
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_635.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_635.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_635.jpg,0,0,0,4.564167E-05
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_708.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_708.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_708.jpg,0,0,0,3.614011E-05
E:\android\curly_final\IMG\center_2019_04_12_01_52_51_780.jpg,E:\android\curly_final\IMG\left_2019_04_12_01_52_51_780.jpg,E:\android\curly_final\IMG\right_2019_04_12_01_52_51_780.jpg,0,0,0,4.116947E-05
